Property_ID,Location,Property_Type,Bedrooms,Bathrooms,Area_sqft,Floor,Total_Floors,Age_Years,Furnishing,Parking_Spaces,Price_Lakhs
28,Bandra West,Apartment,4,3,2009,16,28,2,Fully Furnished,0,1324.85
29,Dadar East,Apartment,1,2,594,21,29,16,Fully Furnished,1,204.87
30,Kandivali East,Penthouse,1,1,567,5,5,10,Fully Furnished,2,166.9
31,Bandra West,Apartment,3,4,1221,23,25,4,Semi-Furnished,1,779.25
32,Vile Parle East,Villa,3,4,1491,36,40,0,Unfurnished,3,784.19
33,Bandra East,Apartment,4,5,1559,19,38,8,Fully Furnished,1,776.22
34,Goregaon East,Apartment,3,3,1002,28,36,2,Unfurnished,0,311.47
35,Goregaon East,Apartment,2,2,932,28,45,22,Unfurnished,0,233.06
36,Borivali West,Villa,3,3,1101,9,11,13,Semi-Furnished,1,336.38
37,Andheri East,Penthouse,4,4,2098,7,29,7,Semi-Furnished,2,885.73
38,Goregaon West,Villa,4,4,1822,12,33,0,Fully Furnished,2,906.06
39,Goregaon East,Apartment,2,1,845,3,35,27,Unfurnished,1,152.11
40,Malad West,Villa,4,4,1628,13,38,0,Semi-Furnished,1,717.18
41,Goregaon East,Villa,2,3,854,35,40,21,Unfurnished,0,248.49
42,Dadar West,Apartment,5,5,2078,39,42,3,Fully Furnished,1,1433.16
43,Vile Parle West,Villa,1,2,498,3,32,8,Fully Furnished,0,210.02
44,Ghatkopar West,Apartment,4,4,1772,5,26,13,Semi-Furnished,2,451.6
45,Malad West,Apartment,3,3,1284,19,36,12,Unfurnished,1,384.18
46,Lower Parel,Apartment,3,3,1258,36,36,12,Semi-Furnished,1,756.54
47,Dadar East,Apartment,3,3,1402,14,44,14,Unfurnished,3,496.35
48,Lower Parel,Apartment,3,3,1045,16,37,26,Unfurnished,1,379.58
49,Andheri East,Apartment,2,2,962,5,34,27,Fully Furnished,2,220.88
50,Kandivali East,Apartment,2,2,725,1,11,20,Unfurnished,2,136.42
51,Vile Parle West,Apartment,2,3,777,8,37,29,Semi-Furnished,1,230.61
52,Dadar East,Villa,2,2,963,33,39,26,Semi-Furnished,2,395.34
53,Chembur,Apartment,2,2,976,34,41,8,Unfurnished,3,318.74
54,Malad West,Apartment,2,2,813,35,36,28,Unfurnished,1,190.99
55,Thane West,Apartment,2,2,858,35,42,10,Unfurnished,2,185.6
56,Ghatkopar East,Apartment,3,2,1339,1,27,15,Semi-Furnished,1,345.59
57,Mulund West,Apartment,3,4,1175,15,23,15,Semi-Furnished,2,287.27
58,Lower Parel,Apartment,3,3,1428,9,43,29,Semi-Furnished,0,521.16
59,Bandra West,Apartment,3,3,1422,4,21,5,Semi-Furnished,2,767.85
60,Ghatkopar East,Apartment,4,4,2170,27,35,30,Semi-Furnished,0,521.69
61,Kandivali West,Apartment,2,1,983,2,20,1,Unfurnished,1,226.81
62,Chembur,Apartment,3,4,1173,17,41,14,Unfurnished,1,374.2
63,Thane West,Apartment,1,1,529,38,38,3,Fully Furnished,1,141.17
64,Kandivali East,Apartment,4,4,1477,16,19,18,Semi-Furnished,3,364.98
65,Bandra East,Apartment,3,4,992,35,41,11,Semi-Furnished,3,496.19
66,Andheri West,Apartment,4,4,1508,24,44,13,Fully Furnished,2,608.0
67,Vile Parle West,Apartment,5,5,3261,35,42,25,Semi-Furnished,2,1385.26
68,Malad East,Apartment,4,3,1685,29,36,28,Fully Furnished,2,390.83
69,Andheri West,Apartment,2,2,743,14,36,15,Semi-Furnished,1,242.41
70,Goregaon East,Apartment,3,4,1145,16,39,2,Semi-Furnished,2,377.48
71,Chembur,Apartment,3,3,1408,2,10,25,Unfurnished,1,294.86
72,Lower Parel,Apartment,3,3,1493,28,45,11,Semi-Furnished,1,797.05
73,Goregaon East,Apartment,2,2,811,35,37,3,Unfurnished,1,258.69
74,Dadar West,Apartment,5,5,3222,7,19,9,Unfurnished,1,1467.78
75,Thane West,Apartment,3,3,996,36,40,1,Unfurnished,3,277.68
76,Bandra East,Penthouse,4,5,1691,31,38,15,Unfurnished,1,874.18
77,Chembur,Apartment,1,1,552,5,41,15,Fully Furnished,3,140.97
78,Dadar West,Apartment,4,3,1654,36,42,3,Fully Furnished,2,1027.32
79,Vile Parle West,Apartment,2,2,802,38,44,27,Fully Furnished,1,292.51
80,Ghatkopar West,Apartment,1,1,610,17,38,6,Unfurnished,0,153.47
81,Borivali East,Apartment,1,1,626,31,35,19,Unfurnished,0,113.82
82,Mulund East,Apartment,1,1,517,38,41,25,Unfurnished,2,99.17
83,Goregaon East,Villa,4,3,1461,20,39,5,Fully Furnished,3,629.78
84,Mulund East,Apartment,3,3,1228,35,42,16,Unfurnished,2,310.14
85,Ghatkopar West,Apartment,2,2,663,15,45,2,Fully Furnished,3,198.9
86,Ghatkopar East,Apartment,3,3,991,12,42,24,Fully Furnished,2,238.9
87,Dadar West,Apartment,2,2,696,23,36,15,Semi-Furnished,1,318.88
88,Malad East,Apartment,2,2,797,26,43,21,Semi-Furnished,0,166.44
89,Bandra East,Apartment,5,5,3053,1,39,26,Semi-Furnished,2,992.09
90,Dadar East,Apartment,3,3,1002,18,35,6,Semi-Furnished,1,436.16
91,Bandra East,Apartment,1,2,511,11,30,22,Unfurnished,2,139.73
92,Bhandup West,Apartment,4,4,1520,10,41,20,Semi-Furnished,3,297.59
93,Bhandup West,Villa,2,2,774,36,38,14,Unfurnished,2,201.86
94,Borivali West,Apartment,4,4,2191,27,37,25,Semi-Furnished,2,531.89
95,Malad West,Apartment,4,5,2075,10,38,15,Semi-Furnished,2,610.81
96,Vile Parle East,Apartment,2,2,746,16,34,22,Unfurnished,2,202.59
97,Malad East,Apartment,3,3,1345,10,41,21,Unfurnished,0,266.7
98,Bandra East,Apartment,4,4,1502,30,30,16,Unfurnished,3,665.46
99,Borivali West,Apartment,1,1,536,26,28,19,Fully Furnished,1,125.49
100,Malad East,Villa,3,3,986,5,20,19,Fully Furnished,3,289.37
101,Ghatkopar West,Apartment,1,1,644,7,35,20,Fully Furnished,1,127.89
102,Malad East,Apartment,3,3,1317,28,32,11,Fully Furnished,1,393.95
103,Borivali East,Apartment,2,1,962,25,44,27,Unfurnished,3,171.82
104,Goregaon West,Apartment,2,2,885,1,34,8,Fully Furnished,1,240.75
105,Kandivali West,Apartment,5,5,3308,28,36,30,Semi-Furnished,2,792.21
106,Chembur,Apartment,1,1,596,37,41,11,Semi-Furnished,3,213.48
107,Kandivali East,Apartment,2,3,675,39,44,29,Semi-Furnished,2,136.12
108,Mira Road,Apartment,2,2,967,9,15,8,Fully Furnished,3,164.7
109,Andheri East,Apartment,3,3,1042,19,29,29,Semi-Furnished,3,239.85
110,Vile Parle East,Villa,4,4,1943,18,44,16,Semi-Furnished,1,863.04
111,Mira Road,Apartment,2,2,708,5,14,14,Fully Furnished,1,105.67
112,Mira Road,Apartment,3,2,1354,17,34,0,Semi-Furnished,0,246.07
113,Goregaon East,Villa,3,3,1060,15,30,21,Fully Furnished,0,322.79
114,Dadar East,Apartment,2,1,975,30,39,26,Semi-Furnished,3,296.81
115,Andheri East,Apartment,2,2,709,16,44,3,Unfurnished,2,216.0
116,Ghatkopar West,Apartment,3,4,1379,10,36,18,Unfurnished,3,346.68
117,Goregaon East,Penthouse,1,1,505,29,36,14,Unfurnished,1,160.32
118,Worli,Apartment,2,2,791,8,37,6,Fully Furnished,0,479.93
119,Andheri West,Apartment,1,1,512,37,40,4,Fully Furnished,0,205.34
120,Goregaon West,Apartment,2,2,955,18,45,0,Unfurnished,1,332.46
121,Bandra East,Apartment,3,2,1084,23,30,0,Semi-Furnished,2,506.55
122,Borivali West,Apartment,3,4,1066,5,35,23,Semi-Furnished,2,215.5
123,Vile Parle West,Penthouse,2,3,672,34,38,23,Fully Furnished,2,306.72
124,Chembur,Villa,4,4,2102,32,43,3,Unfurnished,2,968.89
125,Borivali West,Apartment,1,1,609,38,43,20,Fully Furnished,2,157.09
126,Dadar East,Villa,2,1,985,36,39,20,Semi-Furnished,2,421.76
127,Bhandup West,Apartment,2,2,698,28,38,10,Semi-Furnished,3,157.45
128,Chembur,Apartment,1,1,473,7,30,13,Fully Furnished,1,136.85
129,Vile Parle East,Apartment,2,1,860,28,29,11,Fully Furnished,1,298.51
130,Vile Parle West,Apartment,2,2,764,7,29,27,Semi-Furnished,2,208.89
131,Goregaon West,Apartment,3,4,976,18,18,19,Semi-Furnished,1,276.1
132,Malad East,Apartment,2,2,723,26,28,18,Fully Furnished,1,163.88
133,Ghatkopar West,Apartment,3,3,1379,22,27,14,Semi-Furnished,1,402.48
134,Dadar West,Apartment,3,2,1109,40,40,5,Unfurnished,3,649.02
135,Chembur,Apartment,3,3,1229,33,34,6,Semi-Furnished,1,478.77
136,Dadar West,Apartment,2,2,673,26,45,7,Unfurnished,0,330.37
137,Ghatkopar East,Apartment,1,1,524,8,8,10,Fully Furnished,2,132.02
138,Vile Parle East,Apartment,3,4,1312,26,27,2,Unfurnished,2,517.84
139,Malad East,Apartment,3,4,1364,27,36,22,Semi-Furnished,0,308.92
140,Mira Road,Apartment,4,4,2106,24,26,29,Unfurnished,2,275.62
141,Vile Parle West,Apartment,1,1,640,15,25,10,Unfurnished,1,206.0
142,Vile Parle West,Apartment,2,2,829,10,25,23,Unfurnished,0,220.94
143,Borivali West,Apartment,3,2,1131,32,39,30,Fully Furnished,2,278.42
144,Dadar West,Apartment,3,4,1280,21,25,27,Unfurnished,2,485.44
145,Mira Road,Apartment,2,1,830,5,24,16,Semi-Furnished,2,104.27
146,Malad West,Apartment,1,1,607,33,39,19,Fully Furnished,2,177.35
147,Andheri East,Apartment,2,3,983,21,40,6,Fully Furnished,2,320.1
148,Bandra East,Apartment,3,3,1036,12,14,16,Fully Furnished,1,390.61
149,Vile Parle West,Apartment,3,3,1331,19,31,29,Semi-Furnished,2,389.65
150,Worli,Apartment,3,2,1287,36,42,3,Semi-Furnished,1,993.49
151,Dadar East,Apartment,4,4,1483,10,32,18,Fully Furnished,1,543.08
152,Dadar East,Apartment,3,2,1267,25,45,17,Unfurnished,1,470.27
153,Ghatkopar West,Apartment,5,5,2191,28,44,20,Unfurnished,1,584.58
154,Powai,Apartment,2,2,748,9,18,7,Semi-Furnished,0,236.4
155,Ghatkopar East,Apartment,3,4,988,22,41,21,Fully Furnished,1,263.03
156,Bhandup West,Apartment,3,4,1119,29,30,23,Semi-Furnished,2,224.06
157,Mulund East,Apartment,3,3,1189,16,25,17,Unfurnished,2,262.97
158,Mulund East,Apartment,2,2,845,34,40,16,Unfurnished,1,173.66
159,Goregaon East,Apartment,1,1,545,7,40,17,Semi-Furnished,0,112.51
160,Mulund East,Villa,4,4,1847,15,41,2,Semi-Furnished,2,599.66
161,Kandivali East,Villa,3,3,1345,24,31,2,Semi-Furnished,0,471.72
162,Worli,Apartment,2,2,720,19,45,1,Fully Furnished,2,538.62
163,Chembur,Villa,2,1,690,17,23,0,Fully Furnished,1,294.31
164,Mulund West,Apartment,1,1,510,8,11,9,Semi-Furnished,1,114.96
165,Bandra West,Apartment,1,1,602,2,45,17,Fully Furnished,2,246.24
166,Mulund West,Apartment,1,1,511,27,32,18,Fully Furnished,3,134.32
167,Bandra West,Villa,4,5,1919,33,41,25,Semi-Furnished,0,1093.29
168,Kandivali East,Apartment,5,5,2033,5,27,11,Fully Furnished,1,498.39
169,Dadar West,Apartment,3,3,1086,23,40,1,Fully Furnished,1,657.02
170,Mulund East,Apartment,5,5,3293,9,13,5,Semi-Furnished,3,870.2
171,Mira Road,Apartment,2,1,811,20,36,29,Fully Furnished,2,90.97
172,Worli,Apartment,2,2,674,22,30,27,Semi-Furnished,0,302.1
173,Mulund East,Villa,4,4,1747,32,43,5,Semi-Furnished,2,622.97
174,Mira Road,Apartment,1,1,470,39,45,13,Fully Furnished,1,73.72
175,Malad East,Apartment,3,3,1406,28,33,19,Semi-Furnished,3,336.79
176,Kandivali West,Apartment,3,3,1231,4,9,20,Fully Furnished,3,290.83
177,Ghatkopar West,Apartment,3,2,1096,39,44,27,Unfurnished,2,253.04
178,Worli,Villa,2,2,940,39,40,1,Semi-Furnished,3,867.49
179,Ghatkopar East,Apartment,1,1,585,26,36,11,Semi-Furnished,3,160.66
180,Ghatkopar West,Apartment,2,3,848,36,37,29,Semi-Furnished,1,187.98
181,Dadar East,Villa,2,2,752,9,13,3,Unfurnished,2,332.83
182,Bandra West,Villa,3,3,1305,5,40,22,Semi-Furnished,2,712.74
183,Thane West,Apartment,3,3,1320,15,18,16,Unfurnished,1,239.61
184,Kandivali West,Apartment,3,3,1428,36,38,25,Unfurnished,2,337.1
185,Thane West,Penthouse,3,4,1370,27,45,24,Unfurnished,0,303.95
186,Mulund East,Apartment,2,3,826,36,45,4,Unfurnished,1,234.54
187,Andheri East,Apartment,4,5,1556,11,21,9,Fully Furnished,1,569.04
188,Vile Parle West,Apartment,4,3,1656,36,40,6,Fully Furnished,1,882.63
189,Vile Parle West,Apartment,3,4,1107,40,45,5,Semi-Furnished,2,596.08
190,Bhandup West,Apartment,4,3,1446,37,41,30,Unfurnished,3,272.2
191,Worli,Apartment,1,2,524,20,35,20,Fully Furnished,1,273.26
192,Thane West,Apartment,1,1,556,30,36,15,Fully Furnished,1,118.29
193,Malad East,Apartment,3,3,1358,24,40,4,Unfurnished,2,389.43
194,Goregaon East,Apartment,2,2,699,19,31,1,Semi-Furnished,2,243.18
195,Borivali East,Apartment,3,4,1270,11,42,6,Semi-Furnished,2,307.44
196,Andheri West,Apartment,1,1,579,16,22,14,Semi-Furnished,2,178.74
197,Dadar East,Villa,4,4,1692,1,11,17,Unfurnished,2,678.57
198,Ghatkopar East,Apartment,2,1,855,37,45,1,Semi-Furnished,1,280.72
199,Vile Parle West,Apartment,2,3,793,40,45,26,Unfurnished,2,260.45
200,Kandivali West,Apartment,3,3,1324,10,22,24,Fully Furnished,2,276.93
201,Andheri East,Apartment,1,1,571,30,34,16,Fully Furnished,2,182.24
202,Malad East,Apartment,2,3,803,22,38,18,Fully Furnished,2,202.94
203,Chembur,Apartment,3,3,1289,8,34,21,Semi-Furnished,2,351.57
204,Thane West,Apartment,3,4,1435,38,41,8,Unfurnished,3,345.27
205,Worli,Apartment,3,3,1101,16,17,26,Fully Furnished,2,526.28
206,Malad East,Villa,2,2,754,33,45,13,Semi-Furnished,2,248.89
207,Andheri East,Apartment,3,4,1162,21,42,17,Fully Furnished,2,395.78
208,Mulund East,Villa,4,4,1959,17,36,11,Unfurnished,2,533.57
209,Malad West,Apartment,2,2,797,14,45,22,Semi-Furnished,1,196.65
210,Mira Road,Villa,3,3,1074,35,41,18,Semi-Furnished,2,220.59
211,Malad West,Apartment,1,1,538,29,37,29,Semi-Furnished,3,126.98
212,Goregaon East,Apartment,4,4,1540,40,45,3,Unfurnished,2,617.0
213,Vile Parle West,Apartment,2,2,676,27,37,3,Semi-Furnished,3,336.1
214,Andheri West,Apartment,5,5,2833,31,38,20,Unfurnished,3,1073.31
215,Malad West,Villa,3,2,1187,3,16,17,Unfurnished,2,299.77
216,Bhandup West,Apartment,2,2,745,19,20,29,Semi-Furnished,0,108.17
217,Malad East,Apartment,2,3,918,9,41,15,Semi-Furnished,2,195.82
218,Borivali East,Apartment,3,3,1140,22,31,0,Fully Furnished,2,322.3
219,Worli,Apartment,4,4,1927,6,31,10,Unfurnished,3,1095.1
220,Malad East,Apartment,4,3,1667,16,30,12,Semi-Furnished,1,448.53
221,Andheri West,Apartment,2,2,770,8,37,1,Unfurnished,1,271.37
222,Thane West,Apartment,3,2,1252,40,41,11,Unfurnished,1,279.29
223,Dadar East,Apartment,2,3,891,35,45,24,Unfurnished,1,301.73
224,Mira Road,Apartment,1,1,585,24,26,22,Unfurnished,2,72.64
225,Vile Parle West,Apartment,2,3,726,21,37,5,Unfurnished,2,318.85
226,Chembur,Apartment,1,2,564,4,34,25,Fully Furnished,1,127.55
227,Vile Parle East,Apartment,2,2,661,17,43,12,Fully Furnished,0,208.77
228,Mulund West,Apartment,2,1,927,5,35,1,Semi-Furnished,0,233.4
229,Ghatkopar East,Apartment,3,3,1333,25,39,28,Semi-Furnished,2,348.39
230,Vile Parle East,Apartment,1,1,480,35,41,5,Unfurnished,2,172.94
231,Andheri West,Apartment,3,3,1424,35,41,21,Semi-Furnished,2,499.34
232,Kandivali West,Apartment,2,2,707,27,27,1,Unfurnished,1,211.88
233,Mulund East,Apartment,3,2,1200,3,30,23,Unfurnished,2,207.88
234,Ghatkopar East,Apartment,1,2,524,37,42,7,Fully Furnished,2,191.57
235,Goregaon West,Apartment,2,2,988,15,28,16,Semi-Furnished,1,292.65
236,Ghatkopar West,Apartment,4,4,1969,4,27,15,Fully Furnished,3,554.95
237,Thane West,Apartment,2,2,803,12,42,12,Unfurnished,1,147.81
238,Mira Road,Apartment,2,1,937,27,44,13,Unfurnished,2,134.17
239,Malad East,Apartment,3,3,1329,35,38,2,Semi-Furnished,0,429.54
240,Andheri East,Villa,4,4,2179,36,39,18,Unfurnished,2,806.87
241,Andheri West,Apartment,2,2,710,31,45,23,Fully Furnished,1,225.93
242,Goregaon West,Apartment,3,3,1339,35,45,14,Semi-Furnished,1,461.39
243,Chembur,Apartment,2,2,813,14,37,29,Semi-Furnished,1,190.5
244,Ghatkopar West,Apartment,1,1,591,38,44,29,Unfurnished,1,116.63
245,Dadar West,Apartment,4,4,1963,22,30,20,Fully Furnished,2,937.87
246,Borivali East,Penthouse,3,3,1123,35,42,4,Fully Furnished,1,454.39
247,Vile Parle West,Apartment,1,1,621,1,31,1,Fully Furnished,1,245.33
248,Andheri West,Villa,2,2,841,40,45,1,Fully Furnished,3,514.55
249,Andheri West,Apartment,1,2,555,2,38,0,Semi-Furnished,3,194.7
250,Vile Parle West,Apartment,3,3,1133,7,40,3,Unfurnished,1,451.43
251,Bhandup West,Penthouse,2,2,690,26,40,11,Unfurnished,2,178.1
252,Lower Parel,Apartment,4,3,2069,3,10,27,Semi-Furnished,2,786.48
253,Worli,Villa,1,1,471,28,38,15,Unfurnished,2,321.58
254,Goregaon West,Villa,2,3,893,3,9,8,Semi-Furnished,3,323.12
255,Andheri East,Villa,2,2,658,14,23,30,Semi-Furnished,3,164.72
256,Dadar West,Apartment,2,2,996,35,40,28,Fully Furnished,2,437.77
257,Ghatkopar West,Apartment,1,1,463,28,35,3,Semi-Furnished,0,138.44
258,Dadar East,Apartment,2,2,665,18,43,20,Semi-Furnished,2,224.51
259,Kandivali East,Apartment,2,3,988,6,45,12,Unfurnished,1,189.17
260,Borivali West,Villa,2,2,849,24,27,10,Unfurnished,0,249.72
261,Ghatkopar East,Apartment,2,2,694,28,42,5,Fully Furnished,2,226.54
262,Bandra West,Apartment,2,1,955,21,33,19,Semi-Furnished,0,452.86
263,Ghatkopar West,Apartment,4,4,1985,11,35,16,Unfurnished,1,481.86
264,Borivali West,Apartment,1,1,520,20,35,13,Semi-Furnished,0,116.28
265,Worli,Villa,2,3,750,7,15,14,Unfurnished,1,432.68
266,Dadar East,Apartment,2,2,875,28,32,10,Semi-Furnished,1,365.33
267,Chembur,Apartment,2,2,813,32,41,9,Semi-Furnished,1,292.26
268,Kandivali East,Apartment,2,3,752,35,37,18,Fully Furnished,3,206.95
269,Thane West,Apartment,2,2,685,27,42,26,Fully Furnished,1,115.29
270,Borivali West,Apartment,3,3,1025,39,42,14,Semi-Furnished,2,334.38
271,Thane West,Apartment,2,1,834,35,44,22,Unfurnished,3,146.6
272,Lower Parel,Apartment,2,3,672,26,36,18,Unfurnished,2,301.06
273,Vile Parle West,Apartment,3,4,1176,24,36,14,Fully Furnished,2,525.63
274,Kandivali West,Apartment,5,5,2214,27,29,9,Fully Furnished,0,724.77
275,Mulund East,Apartment,3,4,1444,31,32,11,Fully Furnished,2,394.11
276,Malad West,Apartment,1,1,455,22,42,27,Fully Furnished,0,105.32
277,Ghatkopar West,Apartment,2,2,932,22,39,5,Semi-Furnished,2,280.8
278,Borivali East,Apartment,2,2,852,40,41,0,Fully Furnished,2,248.33
279,Powai,Apartment,2,1,945,35,37,3,Semi-Furnished,1,376.34
280,Lower Parel,Apartment,4,5,2054,39,42,10,Semi-Furnished,2,1334.8
281,Mulund East,Apartment,3,3,1036,9,29,21,Unfurnished,0,172.64
282,Thane West,Apartment,1,1,557,9,45,19,Semi-Furnished,2,90.97
283,Thane West,Apartment,4,4,1968,32,36,5,Unfurnished,1,488.61
284,Andheri East,Apartment,4,3,1896,13,37,4,Fully Furnished,2,675.94
285,Chembur,Apartment,2,2,900,6,42,5,Unfurnished,0,242.17
286,Vile Parle East,Apartment,2,2,939,32,40,23,Unfurnished,2,272.83
287,Vile Parle East,Penthouse,4,4,1955,3,33,26,Unfurnished,2,597.11
288,Bhandup West,Villa,3,3,1254,3,33,27,Semi-Furnished,1,213.85
289,Bandra East,Apartment,3,3,1164,38,43,25,Fully Furnished,3,453.47
290,Borivali West,Apartment,3,3,1010,23,40,18,Fully Furnished,1,261.13
291,Thane West,Penthouse,2,3,786,33,43,30,Unfurnished,0,157.65
292,Andheri East,Apartment,5,5,3436,9,24,27,Fully Furnished,1,866.02
293,Bhandup West,Apartment,3,3,1095,18,38,18,Semi-Furnished,2,229.71
294,Ghatkopar East,Apartment,1,2,641,24,38,8,Semi-Furnished,2,204.33
295,Ghatkopar West,Apartment,1,1,612,23,25,21,Semi-Furnished,2,140.05
296,Powai,Apartment,2,2,795,36,45,10,Fully Furnished,1,348.46
297,Lower Parel,Apartment,3,2,1051,30,30,20,Unfurnished,0,430.77
298,Mulund West,Apartment,2,2,982,11,28,9,Fully Furnished,0,224.52
299,Lower Parel,Apartment,4,4,1453,20,43,12,Unfurnished,3,740.54
300,Bandra East,Apartment,1,1,469,38,41,4,Fully Furnished,2,210.98
301,Malad East,Apartment,3,3,1085,5,19,15,Unfurnished,2,220.13
302,Malad East,Apartment,2,2,720,9,18,12,Fully Furnished,0,169.74
303,Borivali East,Apartment,2,2,971,10,36,23,Fully Furnished,2,173.85
304,Bandra East,Apartment,1,1,600,25,36,23,Semi-Furnished,2,187.56
305,Worli,Apartment,1,2,603,39,41,19,Unfurnished,3,354.83
306,Malad West,Apartment,2,3,910,26,35,6,Unfurnished,3,307.46
307,Goregaon West,Penthouse,2,1,773,39,39,15,Unfurnished,2,322.87
308,Borivali West,Villa,2,3,865,35,45,11,Semi-Furnished,1,313.01
309,Andheri West,Apartment,3,2,1218,3,8,6,Fully Furnished,2,468.03
310,Ghatkopar East,Apartment,2,2,692,35,43,20,Unfurnished,2,179.25
311,Vile Parle West,Apartment,4,4,1949,26,44,10,Fully Furnished,3,917.74
312,Thane West,Apartment,2,2,679,6,33,7,Semi-Furnished,0,117.94
313,Lower Parel,Villa,3,3,1072,9,9,0,Semi-Furnished,1,709.92
314,Mira Road,Apartment,4,4,1570,9,26,11,Unfurnished,3,229.63
315,Mira Road,Apartment,2,3,682,37,38,8,Semi-Furnished,2,118.86
316,Dadar West,Apartment,2,2,780,7,43,24,Fully Furnished,3,299.09
317,Andheri West,Apartment,1,1,512,31,36,1,Unfurnished,2,219.71
318,Andheri East,Apartment,3,3,1179,16,29,10,Semi-Furnished,3,355.35
319,Kandivali West,Villa,1,1,495,34,34,7,Unfurnished,2,171.25
320,Ghatkopar East,Apartment,4,4,1488,30,30,17,Unfurnished,1,459.49
321,Ghatkopar West,Villa,3,3,1327,32,44,18,Fully Furnished,1,481.28
322,Goregaon West,Villa,2,2,662,35,40,7,Fully Furnished,3,329.95
323,Andheri West,Penthouse,3,3,1264,14,29,3,Semi-Furnished,2,695.3
324,Borivali West,Apartment,3,2,994,15,43,29,Semi-Furnished,2,194.39
325,Ghatkopar West,Apartment,1,1,579,26,28,4,Fully Furnished,2,187.28
326,Borivali West,Apartment,2,2,811,26,36,29,Semi-Furnished,1,153.83
327,Powai,Apartment,1,2,477,7,17,4,Semi-Furnished,2,157.28
328,Kandivali West,Apartment,5,5,2925,30,38,9,Unfurnished,0,939.8
329,Bhandup West,Apartment,3,4,991,21,25,6,Fully Furnished,0,245.66
330,Vile Parle West,Apartment,1,1,516,12,13,26,Semi-Furnished,2,147.06
331,Bandra East,Apartment,2,2,712,4,19,0,Unfurnished,1,265.32
332,Worli,Penthouse,4,3,1996,17,43,18,Unfurnished,0,1256.88
333,Worli,Apartment,2,2,697,22,25,28,Semi-Furnished,0,333.02
334,Mulund West,Apartment,4,4,1908,25,38,0,Semi-Furnished,1,598.82
335,Goregaon East,Apartment,2,2,667,40,44,19,Fully Furnished,1,198.18
336,Vile Parle East,Villa,2,1,793,9,35,12,Fully Furnished,1,300.76
337,Worli,Apartment,5,5,2039,23,38,12,Semi-Furnished,2,1478.19
338,Malad East,Apartment,2,2,663,39,40,10,Semi-Furnished,0,198.7
339,Vile Parle West,Apartment,2,3,769,7,22,5,Unfurnished,3,317.43
340,Ghatkopar West,Apartment,1,1,597,25,36,27,Unfurnished,1,114.07
341,Ghatkopar West,Apartment,3,4,978,23,41,22,Unfurnished,2,230.56
342,Mira Road,Apartment,4,4,1955,12,43,9,Unfurnished,0,307.14
343,Andheri West,Apartment,3,2,1289,40,41,29,Semi-Furnished,1,430.76
344,Malad East,Penthouse,1,1,600,10,17,22,Semi-Furnished,2,139.37
345,Lower Parel,Villa,2,1,822,21,25,9,Fully Furnished,1,534.38
346,Chembur,Apartment,3,3,1315,38,40,7,Semi-Furnished,2,502.47
347,Borivali East,Apartment,3,4,1350,37,37,27,Fully Furnished,1,314.37
